TagID,Seq,Attribute,Name,ParentID,UUID
1571516007,13,0,Twist,3,1e02f5a5-212d-4d2b-9367-0e361b3ba044
946468513,2,0,50s,2,fe249d57-5d14-4a0f-a85e-a6bf3ba841e5
3831639528,3,0,60s,2,9d089b32-0576-48e5-9f8f-933ee37809da
918267945,6,0,90s,2,6c12ac81-2145-487b-b1d8-a934ae77fefd
1016231645,8,0,2010s,2,c181e17a-a200-449b-9984-e16f6c52e897
3992394433,9,0,2020s,2,264b187e-2269-4280-a6a1-17aa63a5bb64
1670405412,41,0,Reggaeton,1,2384f698-ca84-47e1-b21c-3bbcddcb29e4
1274522292,34,0,Old School,1,392cb0bb-495b-417f-a036-351fe4dfde44
2361762218,31,0,Neo Soul,1,42fba130-bc85-488c-a853-19c98f9454e7
214923685,32,0,New Wave,1,e8ea594c-3481-4615-96d6-ac09ca0103ea
118281694,14,0,Hippy,4,a39dde0c-6b33-4a07-9e64-72efbcae2d1c
2688783057,24,0,House,1,e9f1c0a5-c0e5-4e64-9160-b4843d1d1c36
629126866,10,0,Dancehall,1,4d473ad0-29a0-4cfd-ad4b-f98dee65ef34
599087803,17,0,Surfing,3,9c2fca45-0149-460e-b196-a0f36bbf35a2
2365094175,19,0,French,2,e229ff80-91c0-4c5c-9dc4-739163969df8
317314193,7,0,Blues,1,4dfd2e98-8fe1-437d-8c1d-bd3d78b3438a
4275159483,18,0,Rave,3,ee1637f8-aa35-428c-ad09-6637bab2336f
52890326,15,0,Canadian,2,b86b671b-8dca-40e6-bf0e-3b7496fc7213
2540062355,15,0,Groovy,4,11043768-345a-47a2-902a-98a5ed7637cc
62609778,12,0,Disco,1,9c39933a-bd9a-45e9-b710-e6cd2cb12e71
2333129259,17,0,Minimal,4,da7ccc4f-5102-4f1f-9353-ce3e1fd9af38
244244862,18,0,Deep,4,cdf96a4f-1a12-48fd-ae56-668cda6fb168
938485439,19,0,Trippy,4,9af210ab-b026-4633-8538-f36cac2113bd
3237991951,20,0,Experimental,4,4d8c92f9-e49f-4185-94ee-e626e48b3c63
2420701803,20,0,German,2,370ff475-3d9e-4784-96b8-a2e85c105e48
3531125754,46,0,Trance,1,2e7b52a7-6553-41b2-8e24-c0796f1f37b5
2978164233,9,0,Boogie,1,48ca600e-4e7a-4d83-889a-3da12c2aa3cc
3980939735,14,0,Electro,1,9203fcec-2e32-4245-9b99-be561d0ee4f9
165295017,19,0,Favs,3,d4ec861f-3eb2-4b3e-84c5-d2363bf0b1e9
4107364518,21,0,Uptempo,4,6a67b8f3-7d9d-4742-b7a9-b5818fe64a17
2518002351,19,0,Future Bass,1,348185b0-5976-4b3e-b29b-ed758072a205
169548333,20,0,Burning Man,3,b2914c72-8624-41d8-b0fa-62e26e5205f5
2653302766,47,0,Tribal,1,540dce3b-d6a5-4f2b-9571-cd34095731cf
873400303,15,0,Eurodance,1,20463244-d587-4ec8-abd7-248559071651
