feature,importance
beat_count,0.11125431903820487
tempo_0,0.07287650469476675
mel_spec_mean_115,0.022389407101767365
beat_regularity,0.018781548106463205
mel_spec_mean_114,0.015130042971002471
mel_spec_mean_20,0.01102078682600331
mel_spec_mean_117,0.009177325311679987
mel_spec_mean_104,0.008759891129632104
mel_spec_mean_110,0.007072295205550042
mel_spec_mean_113,0.007011872460002918
onset_strength_mean,0.0064900781270236345
spectral_bandwidth_mean,0.006259676417815799
mfcc_mean_16,0.006220565333893717
mel_spec_mean_21,0.005371530387674751
mfcc_mean_8,0.005145114192804727
chroma_std_1,0.004952888312547485
mel_spec_mean_111,0.004649630726293863
mfcc_mean_15,0.004546561524082829
mel_spec_mean_31,0.004457768069932061
mel_spec_mean_6,0.004442152203130285
mel_spec_mean_4,0.004420812124382927
mel_spec_std_121,0.004283551483587798
mfcc_mean_6,0.004254575276252155
mfcc_mean_17,0.004098948268626179
mel_spec_mean_122,0.0040302428471871935
mel_spec_mean_118,0.0038921084316467197
chroma_std_5,0.0037536987978123966
mel_spec_mean_7,0.003721604553203135
mel_spec_std_118,0.003539686536870754
mel_spec_std_122,0.0032321944262585127
mel_spec_mean_116,0.003229587961774481
mel_spec_mean_105,0.0031770737340726845
mfcc_std_10,0.003091760221014428
mel_spec_mean_106,0.0029804744506716206
spectral_contrast_mean_0,0.002941104200919481
mel_spec_std_110,0.002933248364451771
mel_spec_mean_112,0.0029237708079593717
chroma_mean_11,0.0028894966383440617
chroma_mean_3,0.0028197995610153587
mfcc_mean_18,0.002733150966596429
mel_spec_mean_5,0.0027106571966981404
spectral_contrast_mean_5,0.00269646845468627
spectral_centroid_mean,0.0026097959537465733
mel_spec_mean_74,0.002526047604843507
mfcc_mean_1,0.00250536457018693
chroma_mean_7,0.0025032202917564324
spectral_contrast_std_6,0.0022962359811613247
mel_spec_mean_15,0.0022027431678588926
mel_spec_mean_32,0.002160296666957656
mel_spec_mean_28,0.0021325389063414505
mfcc_mean_5,0.0020819960471326936
mel_spec_mean_8,0.00202708958275049
mfcc_mean_12,0.0020047040998058705
mel_spec_std_120,0.0019722836543322104
mfcc_mean_14,0.001909765272402151
mel_spec_std_126,0.001897666784056215
mel_spec_mean_25,0.0017390402893672676
mfcc_mean_11,0.0017256600874634282
chroma_std_6,0.0015897461576745927
zcr_std,0.0015890174084958074
mfcc_std_9,0.0015717998565185941
mel_spec_mean_40,0.0015475567004251886
chroma_std_2,0.0015339384104625516
chroma_std_3,0.0015034942124817548
rms_max,0.0014924157446620809
mfcc_mean_3,0.0014916504209874215
mel_spec_std_68,0.001468573302557896
mel_spec_std_23,0.001456357111520265
mel_spec_std_109,0.0014171901103470792
mfcc_std_12,0.0013763435275596894
chroma_std_4,0.0013745518538078256
spectral_flatness_std,0.0013684309411434808
spectral_contrast_std_4,0.001331304011236635
mel_spec_mean_125,0.0012857761576896682
mel_spec_mean_13,0.0012728087915718092
mel_spec_std_66,0.0012585805841928038
mfcc_std_15,0.0012555210361446896
mfcc_mean_2,0.0012435177821356425
mel_spec_std_39,0.0012268287265765577
mel_spec_std_20,0.001225261073611061
mfcc_std_4,0.0011724641044884992
mfcc_std_6,0.0011563112954013056
mel_spec_std_104,0.0011550261179160146
mel_spec_std_80,0.0011405478879604881
mfcc_std_5,0.0011371665141760145
chroma_mean_2,0.0011120403329351624
mfcc_std_18,0.0011050948074595027
spectral_bandwidth_std,0.0010839427944291102
mel_spec_std_77,0.0010759074146331306
mel_spec_mean_109,0.0010736299552717855
mel_spec_std_27,0.0010670161469955425
spectral_contrast_mean_3,0.001055844868075037
mel_spec_mean_19,0.0010382451418060623
mel_spec_mean_36,0.0010303004014178747
mel_spec_std_3,0.001029501074562106
mel_spec_std_90,0.0010251002080252543
energy_start,0.0010226522611148326
mel_spec_mean_1,0.0010219041237548095
mel_spec_std_50,0.0010113650064182004
mfcc_std_7,0.0009955893143439995
spectral_rolloff_std,0.0009755766918376104
mel_spec_mean_0,0.0009398737602987485
mel_spec_mean_107,0.0008990519448185542
onset_strength_std,0.0008922842159563418
mfcc_mean_9,0.0008846666359242258
mfcc_mean_19,0.0008773201086916794
mel_spec_mean_121,0.0008632784410979152
mel_spec_std_8,0.0008444443168408304
spectral_contrast_mean_6,0.0008245254204745143
mel_spec_mean_103,0.000821461743201904
mel_spec_std_89,0.0008190189213197279
mel_spec_mean_92,0.0008118095997081465
mel_spec_mean_123,0.0008032995194506288
chroma_mean_1,0.0007875214463071631
mel_spec_std_95,0.0007737213923654145
mel_spec_mean_17,0.0007634433311662215
mel_spec_mean_53,0.0007627401674375715
mfcc_std_2,0.000747626745948848
spectral_contrast_std_3,0.0007455500669854623
mel_spec_std_125,0.0007416179170095651
spectral_contrast_std_2,0.0007141938406587376
spectral_contrast_mean_4,0.0006954140723289085
mel_spec_std_91,0.0006913863494002496
mel_spec_mean_22,0.0006761457717316579
mfcc_mean_7,0.0006711609447417517
mel_spec_mean_98,0.0006499241066724596
mel_spec_std_105,0.000648491096626268
mel_spec_mean_95,0.000634842592787913
mfcc_std_17,0.000634149613684693
mel_spec_std_92,0.0006219614395587242
mel_spec_mean_11,0.0006180192640080893
mel_spec_mean_27,0.0006139931625344041
chroma_mean_5,0.0006108309067125415
mel_spec_std_112,0.0006000161365912423
mel_spec_std_79,0.0005875923933743988
spectral_rolloff_mean,0.0005612389035711331
mel_spec_std_96,0.0005606005322901197
mel_spec_mean_10,0.0005590160534346343
chroma_std_9,0.0005584748569569071
mel_spec_mean_9,0.0005355748188515283
mel_spec_std_76,0.0005310361010260213
mel_spec_std_84,0.0005147579955939102
energy_middle,0.0004952555517593052
mel_spec_std_14,0.0004951698478533639
mel_spec_mean_30,0.0004922374024003833
mfcc_std_14,0.0004918834203782444
mel_spec_mean_46,0.0004741012427541309
rms_mean,0.0004527262735947148
mel_spec_mean_14,0.0004465409784549379
mel_spec_std_94,0.0004453249979063622
